seq,date,time,timezone,class,action,method,user,desc,note
1,,,,Common,Start VM,HV,,,
2,,,,Input Device,Keystroke,K,IEUser,PRESS(ENTER),Select 'IEUser' account
3,,,,Account,Logon an account,K,IEUser,ID(IEUser) PW(Passw0rd!) PIN(),
4,,,,Input Device,Keystroke,K,IEUser,PRESS(Passw0rd!),Password
5,,,,Input Device,Keystroke,K,IEUser,PRESS(ENTER),Try to Logon
6,2017-09-15,07:58:29,(UTC-08:00) Pacific Time (US & Canada),Configuration,Disable UAC (User Access Control),PS,IEUser,,HKLM:SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
7,2017-09-15,07:58:45,(UTC-08:00) Pacific Time (US & Canada),Input Device,Click a mouse button,M,IEUser,X(512)  Y(384)  MODE(PRESS)  CLICK(LCLICK),Click the Center
8,2017-09-15,07:58:46,(UTC-08:00) Pacific Time (US & Canada),Input Device,Click a mouse button,M,IEUser,X(512)  Y(384)  MODE(RELEASE)  CLICK(LCLICK),
9,2017-09-15,07:58:46,(UTC-08:00) Pacific Time (US & Canada),Input Device,Keystroke,K,IEUser,PRESS(y) + HOLD(ALT),Click 'Yes'
10,2017-09-15,07:59:00,(UTC-08:00) Pacific Time (US & Canada),Input Device,Keystroke,K,IEUser,PRESS(ESC),
11,2017-09-15,07:59:02,(UTC-08:00) Pacific Time (US & Canada),Configuration,Disable UAC (User Access Control),PS,IEUser,,HKLM:SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
12,2017-09-15,07:59:13,(UTC-08:00) Pacific Time (US & Canada),Input Device,Click a mouse button,M,IEUser,X(512)  Y(384)  MODE(PRESS)  CLICK(LCLICK),Click the Center
13,2017-09-15,07:59:13,(UTC-08:00) Pacific Time (US & Canada),Input Device,Click a mouse button,M,IEUser,X(512)  Y(384)  MODE(RELEASE)  CLICK(LCLICK),
14,2017-09-15,07:59:14,(UTC-08:00) Pacific Time (US & Canada),Input Device,Keystroke,K,IEUser,PRESS(y) + HOLD(ALT),Click 'Yes'
15,2017-09-15,07:59:32,(UTC-08:00) Pacific Time (US & Canada),Configuration,Disable Windows update feature,PS,IEUser,Never check for updates,
16,2017-09-15,07:59:37,(UTC-08:00) Pacific Time (US & Canada),Common,Stop VM,HV,IEUser,,MODE(SHUT_DOWN)
17,,,,Common,Start VM,HV,IEUser,,
18,,,,Input Device,Keystroke,K,IEUser,PRESS(ENTER),Select 'IEUser' account
19,,,,Account,Logon an account,K,IEUser,ID(IEUser) PW(Passw0rd!) PIN(),
20,,,,Input Device,Keystroke,K,IEUser,PRESS(Passw0rd!),Password
21,,,,Input Device,Keystroke,K,IEUser,PRESS(ENTER),Try to Logon
22,2017-09-15,08:01:18,(UTC-08:00) Pacific Time (US & Canada),Special,Monitoring agent ON,EXE,IEUser,EventNo(1),EventName(Launch a program)
